OBJECTID;COD_PROG;INDIRIZZO;TIPO_MACRO;R10;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
278;A603;VLE MONZA 241;PRODUTTIVO;SI;2;16;GORLA - PRECOTTO;9.22281345113507;45.510055335455;(45.510055335455, 9.22281345113507)
279;A194;VLE ORTLES 58;PRODUTTIVO;SI;5;36;SCALO ROMANA;9.20770242727829;45.4392876510303;(45.4392876510303, 9.20770242727829)
280;A242;VIA FANTOLI GAUDENZIO 3;TERZIARIO;SI;4;30;TALIEDO - MORSENCHIO - Q.RE FORLANINI;9.25088503178164;45.4516228749105;(45.4516228749105, 9.25088503178164)
281;A76;VIA CECCHI ANTONIO 18;PRODUTTIVO;SI;7;51;PORTA MAGENTA;9.15268157032382;45.4602463980883;(45.4602463980883, 9.15268157032382)
282;A274;VIA COZZI ROBERTO 42;RESIDENZIALE;SI;9;13;GRECO - SEGNANO;9.2109836797184;45.5093523538981;(45.5093523538981, 9.2109836797184)
283;A443;VIA ALGHERO 12;INDUSTRIALE;SI;2;16;GORLA - PRECOTTO;9.22794867513958;45.5044867340897;(45.5044867340897, 9.22794867513958)
284;A105;VIA BOVISASCA 65;PRODUTTIVO;SI;9;77;BOVISA;9.15866986286171;45.5077344428337;(45.5077344428337, 9.15866986286171)
285;A431;VIA GIACOSA GIUSEPPE 66;PRODUTTIVO;SI;2;20;LORETO - CASORETTO - NOLO;9.22052348264267;45.4967360012116;(45.4967360012116, 9.22052348264267)
286;A437;VIA TEOCRITO 10;INDUSTRIALE;SI;2;16;GORLA - PRECOTTO;9.22445013785168;45.5072969307242;(45.5072969307242, 9.22445013785168)
287;A438;VIA IGLESIAS 41;INDUSTRIALE;SI;2;16;GORLA - PRECOTTO;9.23304525225939;45.5058008635843;(45.5058008635843, 9.23304525225939)
288;A439;VIA PARUTA PAOLO 40;PRODUTTIVO;SI;2;19;PADOVA - TURRO - CRESCENZAGO;9.23741274411922;45.5026628528491;(45.5026628528491, 9.23741274411922)
289;A440;VIA IGLESIAS 23;PRODUTTIVO;SI;2;16;GORLA - PRECOTTO;9.23013930444986;45.505392272988;(45.505392272988, 9.23013930444986)
290;A449;VIA FORTEZZA 27;TERZIARIO;SI;2;16;GORLA - PRECOTTO;9.2233377798762;45.5206917632326;(45.5206917632326, 9.2233377798762)
